latitude_deg,altitude,mean_vtheta
-7.5,5.5,-0.005715
-2.5,5.5,0.000766
2.5,5.5,-0.006222
7.5,5.5,-0.008644
12.5,5.5,-0.000238
17.5,5.5,0.005007
22.5,5.5,0.009626
27.5,5.5,0.010107
32.5,5.5,0.016598
37.5,5.5,0.013938
42.5,5.5,0.003427
47.5,5.5,0.003533
52.5,5.5,-0.028361
57.5,5.5,-0.008337
62.5,5.5,-0.01368
67.5,5.5,0.008729
72.5,5.5,-0.016357
77.5,5.5,0.003775
82.5,5.5,0.048675
87.5,5.5,-0.029387
-87.5,6.5,-0.065312
-82.5,6.5,-0.035867
-77.5,6.5,-0.020993
-72.5,6.5,-0.040208
-67.5,6.5,-0.029339
-62.5,6.5,-0.009734
-57.5,6.5,-0.013926
-52.5,6.5,-0.015621
-47.5,6.5,0.007903
-42.5,6.5,-0.008321
-37.5,6.5,-0.018603
-32.5,6.5,-0.008137
-27.5,6.5,-0.000716
-22.5,6.5,0.005734
-17.5,6.5,-0.012431
-12.5,6.5,-0.008086
-7.5,6.5,-0.002737
-2.5,6.5,-0.000156
2.5,6.5,-0.003629
7.5,6.5,-0.012176
12.5,6.5,-0.004583
17.5,6.5,0.006801
22.5,6.5,0.008254
27.5,6.5,0.014845
32.5,6.5,0.011038
37.5,6.5,0.024499
42.5,6.5,0.009385
47.5,6.5,0.011485
52.5,6.5,-0.025295
57.5,6.5,-0.018713
62.5,6.5,-0.015064
67.5,6.5,-0.022772
72.5,6.5,0.016602
77.5,6.5,0.022217
82.5,6.5,0.049443
87.5,6.5,0.038991
-87.5,7.5,-0.001214
-82.5,7.5,-0.042466
-77.5,7.5,-0.002091
-72.5,7.5,0.011666
-67.5,7.5,-0.03017
-62.5,7.5,-0.012545
-57.5,7.5,-0.000154
-52.5,7.5,0.016757
-47.5,7.5,-0.003293
-42.5,7.5,-0.011641
-37.5,7.5,-0.012984
-32.5,7.5,-0.001059
-27.5,7.5,-0.005986
-22.5,7.5,-0.009493
-17.5,7.5,-0.005562
-12.5,7.5,-0.006338
-7.5,7.5,-0.004353
-2.5,7.5,-0.006421
2.5,7.5,-0.007949
7.5,7.5,-0.001226
12.5,7.5,0.005657
17.5,7.5,0.004492
22.5,7.5,0.016349
27.5,7.5,0.014065
32.5,7.5,0.013686
37.5,7.5,0.012889
42.5,7.5,0.020619
47.5,7.5,0.006336
52.5,7.5,-0.00693
57.5,7.5,0.000463
62.5,7.5,-0.013333
67.5,7.5,-0.026886
72.5,7.5,0.003989
77.5,7.5,0.043083
82.5,7.5,0.032909
87.5,7.5,-0.060208
-87.5,8.5,-0.099868
-82.5,8.5,0.091791
-77.5,8.5,-0.024522
-72.5,8.5,-0.003713
-67.5,8.5,0.022638
-62.5,8.5,-0.013597
-57.5,8.5,0.008627
-52.5,8.5,0.002633
-47.5,8.5,0.001379
-42.5,8.5,-0.015857
-37.5,8.5,-0.013507
-32.5,8.5,-0.015109
-27.5,8.5,-0.007826
-22.5,8.5,-0.010703
-17.5,8.5,0.001051
-12.5,8.5,-0.007407
-7.5,8.5,-0.003503
-2.5,8.5,-0.013756
2.5,8.5,-0.007558
7.5,8.5,-0.008237
12.5,8.5,0.017646
17.5,8.5,0.012335
22.5,8.5,0.007363
27.5,8.5,0.019906
32.5,8.5,0.01914
37.5,8.5,0.009439
42.5,8.5,0.023284
47.5,8.5,0.006864
52.5,8.5,0.012451
57.5,8.5,0.009385
62.5,8.5,0.002557
67.5,8.5,0.001762
72.5,8.5,0.008238
77.5,8.5,0.04372
82.5,8.5,-0.041069
87.5,8.5,-0.037867
-87.5,9.5,0.00993
-82.5,9.5,-0.001534
-77.5,9.5,-0.01801
-72.5,9.5,-0.029368
-67.5,9.5,-0.018313
-62.5,9.5,0.013386
-57.5,9.5,-0.003231
-52.5,9.5,0.020621
-47.5,9.5,-0.00793
-42.5,9.5,-0.024721
-37.5,9.5,-0.013443
-32.5,9.5,-0.010739
-27.5,9.5,-0.011429
-22.5,9.5,-0.009063
-17.5,9.5,-0.002919
-12.5,9.5,-0.008421
-7.5,9.5,-0.001128
-2.5,9.5,-0.0032
2.5,9.5,-0.003339
7.5,9.5,-0.004974
12.5,9.5,0.007621
17.5,9.5,0.013656
22.5,9.5,0.01047
27.5,9.5,0.016089
32.5,9.5,0.017938
37.5,9.5,0.008035
42.5,9.5,0.006425
47.5,9.5,-0.006786
52.5,9.5,0.02537
57.5,9.5,0.003141
62.5,9.5,0.019564
67.5,9.5,-0.015531
72.5,9.5,-0.037351
77.5,9.5,0.000883
82.5,9.5,-0.019123
87.5,9.5,0.092275
-87.5,10.5,-0.028051
-82.5,10.5,0.016067
-77.5,10.5,-0.014175
-72.5,10.5,0.016566
-67.5,10.5,0.025116
-62.5,10.5,0.026473
-57.5,10.5,0.001673
-52.5,10.5,-0.013345
-47.5,10.5,-0.012727
-42.5,10.5,-0.023197
-37.5,10.5,-0.01445
-32.5,10.5,-0.000926
-27.5,10.5,-0.008546
-22.5,10.5,-0.002644
-17.5,10.5,-0.01005
-12.5,10.5,-0.006378
-7.5,10.5,-0.013
-2.5,10.5,-0.010484
2.5,10.5,0.000673
